Date,Open,High,Low,Close,Volume
6/29/2010 16:00:00,3.8,5,3.51,4.78,18783276
6/30/2010 16:00:00,5.19,6.08,4.66,4.77,17194394
7/1/2010 16:00:00,5,5.18,4.05,4.39,8229863
7/2/2010 16:00:00,4.6,4.62,3.74,3.84,5141807
7/6/2010 16:00:00,4,4,3.17,3.22,6879296
7/7/2010 16:00:00,3.28,3.33,3,3.16,6924914
7/8/2010 16:00:00,3.23,3.5,3.11,3.49,7719539
7/9/2010 16:00:00,3.52,3.58,3.31,3.48,4058606
7/12/2010 16:00:00,3.59,3.61,3.4,3.41,2203570
7/13/2010 16:00:00,3.51,3.73,3.38,3.63,2680060
7/14/2010 16:00:00,3.59,4.03,3.55,3.97,4196110
7/15/2010 16:00:00,3.99,4.3,3.8,3.98,3745297
7/16/2010 16:00:00,4.14,4.26,4.01,4.13,2621210
7/19/2010 16:00:00,4.27,4.45,4.18,4.38,2486489
7/20/2010 16:00:00,4.37,4.37,4.01,4.06,1825231
7/21/2010 16:00:00,4.13,4.18,3.9,4.04,1253442
7/22/2010 16:00:00,4.1,4.25,4.07,4.2,962345
7/23/2010 16:00:00,4.24,4.31,4.21,4.26,654049
7/26/2010 16:00:00,4.3,4.3,4.06,4.19,896280
7/27/2010 16:00:00,4.18,4.24,4.05,4.11,619675
7/28/2010 16:00:00,4.11,4.18,4.1,4.14,467183
7/29/2010 16:00:00,4.15,4.18,4,4.07,615910
7/30/2010 16:00:00,4.04,4.09,3.91,3.99,426830
8/2/2010 16:00:00,4.08,4.19,4.07,4.18,719145
8/3/2010 16:00:00,4.2,4.39,4.16,4.39,1231023
8/4/2010 16:00:00,4.39,4.44,4.17,4.25,920756
8/5/2010 16:00:00,4.31,4.31,4.01,4.09,796380
8/6/2010 16:00:00,4.02,4.03,3.9,3.92,742138
8/9/2010 16:00:00,3.98,4,3.89,3.92,812656
8/10/2010 16:00:00,3.93,3.93,3.76,3.81,1281286
8/11/2010 16:00:00,3.74,3.78,3.57,3.58,797650
8/12/2010 16:00:00,3.56,3.58,3.48,3.52,691281
8/13/2010 16:00:00,3.64,3.69,3.53,3.66,634513
8/16/2010 16:00:00,3.7,3.76,3.65,3.76,486211
8/17/2010 16:00:00,3.79,3.88,3.76,3.83,447881
8/18/2010 16:00:00,3.92,3.92,3.72,3.75,601332
8/19/2010 16:00:00,3.71,3.85,3.67,3.76,579082
8/20/2010 16:00:00,3.73,3.82,3.7,3.82,297499
8/23/2010 16:00:00,3.82,4.08,3.8,4.03,1088029
8/24/2010 16:00:00,3.86,3.94,3.79,3.84,673074
8/25/2010 16:00:00,3.83,4,3.71,3.98,503289
8/26/2010 16:00:00,3.98,4.05,3.92,3.95,433736
8/27/2010 16:00:00,3.95,3.97,3.9,3.94,379642
8/30/2010 16:00:00,3.94,4.04,3.92,3.97,732731
8/31/2010 16:00:00,3.93,3.96,3.87,3.9,201012
9/1/2010 16:00:00,3.92,4.14,3.92,4.09,495685
9/2/2010 16:00:00,4.07,4.25,4.06,4.21,487060
9/3/2010 16:00:00,4.17,4.26,4.13,4.21,434756
9/7/2010 16:00:00,4.12,4.2,4.1,4.11,243335
9/8/2010 16:00:00,4.13,4.19,4.12,4.18,288382
9/9/2010 16:00:00,4.2,4.21,4.14,4.14,376197
9/10/2010 16:00:00,4.15,4.19,3.95,4.03,386571
9/13/2010 16:00:00,4.18,4.18,4.1,4.14,360703
9/14/2010 16:00:00,4.11,4.32,4.11,4.22,654629
9/15/2010 16:00:00,4.2,4.4,4.16,4.4,684758
9/16/2010 16:00:00,4.4,4.63,4.17,4.19,2685880
9/17/2010 16:00:00,4.2,4.26,3.96,4.05,1198458
9/20/2010 16:00:00,4.13,4.27,4.03,4.21,947475
9/21/2010 16:00:00,4.18,4.31,4.13,4.15,796000
9/22/2010 16:00:00,4.17,4.19,3.96,3.97,962816
9/23/2010 16:00:00,3.98,4.03,3.9,3.91,668076
9/24/2010 16:00:00,3.99,4.04,3.93,4.02,578987
9/27/2010 16:00:00,4.08,4.16,4.01,4.11,418597
9/28/2010 16:00:00,4.21,4.3,4.15,4.28,1214465
9/29/2010 16:00:00,4.24,4.41,4.23,4.4,1969457
9/30/2010 16:00:00,4.4,4.43,4.04,4.08,2196625
10/1/2010 16:00:00,4.14,4.15,4.06,4.12,599071
10/4/2010 16:00:00,4.09,4.23,4.06,4.2,643599
10/5/2010 16:00:00,4.23,4.26,4.2,4.22,331936
10/6/2010 16:00:00,4.21,4.25,4.06,4.08,240358
10/7/2010 16:00:00,4.11,4.13,4.07,4.09,141020
10/8/2010 16:00:00,4.09,4.16,4.08,4.09,268110
10/11/2010 16:00:00,4.09,4.14,4.01,4.05,171194
10/12/2010 16:00:00,4.04,4.06,4.01,4.05,243912
10/13/2010 16:00:00,4.13,4.17,4.07,4.11,320541
10/14/2010 16:00:00,4.2,4.21,4.08,4.15,294620
10/15/2010 16:00:00,4.18,4.18,4.05,4.11,284840
10/18/2010 16:00:00,4.1,4.13,4.04,4.05,162729
10/19/2010 16:00:00,4.04,4.08,4,4.01,245127
10/20/2010 16:00:00,4.03,4.14,4.01,4.13,312444
10/21/2010 16:00:00,4.12,4.19,4.09,4.15,417999
10/22/2010 16:00:00,4.14,4.19,4.11,4.14,161021
