Date,Open,High,Low,Close,Volume
1/2/2008 16:00:00,35.79,35.96,35,35.22,63006176
1/3/2008 16:00:00,35.22,35.65,34.86,35.37,49601204
1/4/2008 16:00:00,35.19,35.2,34.09,34.38,72093832
1/7/2008 16:00:00,34.55,34.8,34.25,34.61,80173472
1/8/2008 16:00:00,34.62,34.71,33.4,33.45,79155608
1/9/2008 16:00:00,33.35,34.54,33.35,34.44,74317160
1/10/2008 16:00:00,34.17,34.5,33.78,34.33,72447520
1/11/2008 16:00:00,33.99,34.24,33.72,33.91,55196660
1/14/2008 16:00:00,34.45,34.57,34.08,34.39,52792432
1/15/2008 16:00:00,34,34.38,34,34,61637680
1/16/2008 16:00:00,33.31,33.65,32.51,33.23,120781832
1/17/2008 16:00:00,33.71,33.8,32.97,33.11,94253760
1/18/2008 16:00:00,33.1,34,32.97,33.01,117061992
1/22/2008 16:00:00,31.54,32.53,31.5,31.99,108866416
1/23/2008 16:00:00,31.58,32.05,31.04,31.93,137655888
1/24/2008 16:00:00,32.37,33.36,32.12,33.25,155640336
1/25/2008 16:00:00,34.86,35,32.87,32.94,196992272
1/28/2008 16:00:00,33.01,33.1,32.42,32.72,81018920
1/29/2008 16:00:00,32.88,32.89,32.35,32.6,68022984
1/30/2008 16:00:00,32.58,32.8,32.05,32.2,106432592
1/31/2008 16:00:00,31.96,32.74,31.72,32.6,103642128
2/1/2008 16:00:00,31.1,33.25,30.25,30.45,291138880
2/4/2008 16:00:00,30.48,30.72,30.11,30.19,119998560
2/5/2008 16:00:00,29.91,29.94,28.89,29.07,137534064
2/6/2008 16:00:00,29.35,29.35,28.29,28.52,138315568
2/7/2008 16:00:00,28.39,28.78,27.9,28.12,165268048
2/8/2008 16:00:00,28.3,29.08,28.24,28.56,124871992
2/11/2008 16:00:00,28.53,28.61,27.91,28.21,156814096
2/12/2008 16:00:00,28.4,28.62,28.11,28.34,84365864
2/13/2008 16:00:00,28.67,29.05,28.53,28.96,88994280
2/14/2008 16:00:00,28.9,29.04,28.46,28.5,69113408
2/15/2008 16:00:00,28.46,28.64,28.25,28.42,68166064
2/19/2008 16:00:00,28.81,28.84,28.07,28.17,68254256
2/20/2008 16:00:00,28.15,28.26,27.92,28.22,93056128
2/21/2008 16:00:00,28.62,28.96,27.96,28.1,98784200
2/22/2008 16:00:00,28.12,28.39,27.2,27.68,125712976
2/25/2008 16:00:00,27.65,28.24,27.48,27.84,109622608
2/26/2008 16:00:00,27.67,28.86,27.67,28.38,108926496
2/27/2008 16:00:00,28.21,28.68,28.1,28.26,75199408
2/28/2008 16:00:00,28.02,28.27,27.8,27.93,83010016
2/29/2008 16:00:00,27.61,27.83,27.02,27.2,117411360
3/3/2008 16:00:00,27.24,27.39,26.87,26.99,76580960
3/4/2008 16:00:00,27.02,27.63,26.96,27.59,86925504
3/5/2008 16:00:00,27.72,28.41,27.7,28.12,106489800
3/6/2008 16:00:00,28.1,28.17,27.5,27.57,91134344
3/7/2008 16:00:00,27.32,28.07,27.32,27.87,77607040
3/10/2008 16:00:00,27.83,28.26,27.75,28.05,72538272
3/11/2008 16:00:00,28.4,29.34,28.38,29.28,98764088
3/12/2008 16:00:00,29.43,29.49,28.54,28.63,75993800
3/13/2008 16:00:00,28.54,28.99,28.16,28.62,84557136
3/14/2008 16:00:00,28.7,29.01,27.64,27.96,105214816
3/17/2008 16:00:00,27.3,28.73,27.28,28.3,84497416
3/18/2008 16:00:00,28.67,29.48,28.67,29.42,83695240
